Event Name                                                       ,    Lat ,Lng     ,Depth(km), Mag
GCMT_event_AEGEAN_SEA_Mag_5.8_2013-1-8-14                        ,39.6,25.6,14.0,5.8
GCMT_event_AFGHANISTAN-TAJIKISTAN_BORD_REG._Mag_5.7_2011-11-7-11 ,36.6,71.0,222.0,5.7
GCMT_event_AFGHANISTAN-TAJIKISTAN_BORD_REG._Mag_5.7_2012-5-12-23 ,38.7,70.2,21.0,5.7
GCMT_event_AFGHANISTAN-TAJIKISTAN_BORD_REG._Mag_5.7_2012-7-19-7  ,37.1,71.2,110.0,5.7
GCMT_event_ARMENIA-AZERBAIJAN-IRAN_BORD_REG_Mag_6.5_2012-8-11-12 ,38.3,46.8,15.0,6.5
GCMT_event_ASCENSION_ISLAND_REGION_Mag_5.6_2007-9-26-18          ,-6.7,-11.6,12.0,5.6
GCMT_event_ASCENSION_ISLAND_REGION_Mag_6.0_2011-8-10-23          ,-6.9,-12.6,18.0,6.0
GCMT_event_AZORES-CAPE_ST._VINCENT_RIDGE_Mag_6.0_2007-2-12-10    ,35.9,-10.4,44.0,6.0
GCMT_event_AZORES_ISLANDS_REGION_Mag_5.8_2013-4-30-6             ,37.6,-24.6,13.0,5.8
GCMT_event_AZORES_ISLANDS_REGION_Mag_5.9_2009-11-4-18            ,36.2,-33.9,12.0,5.9
GCMT_event_AZORES_ISLANDS_REGION_Mag_6.0_2007-4-7-7              ,37.4,-24.4,12.0,6.0
GCMT_event_BOUVET_ISLAND_REGION_Mag_5.5_2008-6-1-0               ,-54.9,1.6,24.0,5.5
GCMT_event_BOUVET_ISLAND_REGION_Mag_5.6_2007-4-30-15             ,-54.0,6.8,15.0,5.6
GCMT_event_BOUVET_ISLAND_REGION_Mag_6.1_2009-6-16-20             ,-54.4,6.3,12.0,6.1
GCMT_event_BOUVET_ISLAND_REGION_Mag_6.5_2007-6-24-0              ,-55.8,-1.7,15.0,6.5
GCMT_event_BULGARIA_Mag_5.6_2012-5-22-0                          ,42.5,23.1,12.0,5.6
GCMT_event_CARLSBERG_RIDGE_Mag_5.5_2009-3-23-4                   ,9.7,57.8,12.0,5.5
GCMT_event_CARLSBERG_RIDGE_Mag_5.5_2012-3-17-17                  ,3.7,63.4,12.0,5.5
GCMT_event_CARLSBERG_RIDGE_Mag_5.5_2013-9-24-7                   ,7.5,59.5,12.0,5.5
GCMT_event_CARLSBERG_RIDGE_Mag_5.6_2009-11-8-20                  ,6.5,60.3,12.0,5.6
GCMT_event_CARLSBERG_RIDGE_Mag_5.6_2012-11-6-6                   ,9.9,57.0,12.0,5.6
